example_id,bucket,split,gold,cot_pred,astar_pred,cot_correct,astar_correct,failure_category,selected_rescue,selected_preserve,selected_answer_only
logicqa_9093bd5190b1,both_wrong,dev,D,C,C,False,False,inference_selection,False,False,False
logicqa_91411da05208,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_93871921aaee,astar_only,train,C,D,C,False,True,logical_constraints,True,False,False
logicqa_93c068ea3a59,cot_only,train,A,A,B,True,False,logical_constraints,False,True,False
logicqa_9f29543bfddc,both_wrong,dev,A,C,B,False,False,inference_selection,False,False,False
logicqa_a5dab17362cb,both_correct,train,D,D,D,True,True,logical_constraints,False,True,False
logicqa_aa98e6327681,cot_only,dev,D,D,A,True,False,logical_constraints,False,False,False
logicqa_abe916cf08d3,both_wrong,dev,D,A,B,False,False,logical_constraints,False,False,False
logicqa_b05a4cd465cf,both_wrong,dev,D,A,C,False,False,logical_constraints,False,False,False
logicqa_b38f32bac16d,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_b4385d11be18,both_wrong,train,C,A,D,False,False,logical_constraints,False,False,False
logicqa_b59f01915ec1,both_wrong,train,D,C,B,False,False,logical_constraints,False,False,False
logicqa_b9be2ff9fa81,both_wrong,train,B,D,D,False,False,inference_selection,False,False,False
logicqa_bbc21117f24e,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_bbf286aa2a24,both_correct,train,B,B,B,True,True,logical_constraints,False,True,True
logicqa_be1f92dc72c2,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_bfdb117e2d9d,astar_only,train,A,B,A,False,True,inference_selection,True,False,False
logicqa_c0ad3df748dc,cot_only,train,D,D,B,True,False,logical_constraints,False,True,True
logicqa_c1f0fdac5ec0,both_wrong,train,D,A,B,False,False,logical_constraints,False,False,False
logicqa_c421d01db266,both_correct,train,C,C,C,True,True,logical_constraints,False,True,False
logicqa_c42e73e87ac9,both_correct,train,A,A,A,True,True,inference_selection,False,True,False
logicqa_c6d192b0c6f6,cot_only,train,D,D,B,True,False,logical_constraints,False,True,False
logicqa_cae8d78f50c6,both_wrong,train,D,B,B,False,False,logical_constraints,False,False,False
logicqa_cc1dde93a459,cot_only,train,B,B,D,True,False,logical_constraints,False,True,True
logicqa_ccde9b91db5b,both_correct,train,D,D,D,True,True,logical_constraints,False,True,False
logicqa_cf296020a71e,both_wrong,train,C,B,D,False,False,logical_constraints,False,False,False
logicqa_d0d5e047f1c2,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_d0f29f10a0dc,both_correct,train,D,D,D,True,True,inference_selection,False,True,False
logicqa_d3f799a74661,both_correct,train,C,C,C,True,True,logical_constraints,False,True,False
logicqa_d7c58d45149e,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_da889d59ee99,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_dfff6ba72d94,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_e09013604e64,both_wrong,train,D,A,B,False,False,logical_constraints,False,False,False
logicqa_e39553d33f7d,both_wrong,train,D,B,B,False,False,logical_constraints,False,False,False
logicqa_e3eb1ed7a088,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_e5b4da940872,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_e74a220b6592,both_correct,dev,C,C,C,True,True,logical_constraints,False,False,False
logicqa_ee7769fbab86,astar_only,dev,B,C,B,False,True,logical_constraints,False,False,False
logicqa_f27b8e3bfc5e,both_wrong,train,A,C,D,False,False,logical_constraints,False,False,False
logicqa_f3a5399ebff5,both_wrong,train,A,C,C,False,False,logical_constraints,False,False,False
logicqa_f4d69efd5bcb,both_wrong,dev,B,A,A,False,False,logical_constraints,False,False,False
logicqa_f555efc3165b,both_wrong,train,B,D,D,False,False,inference_selection,False,False,False
logicqa_f88ee416caf9,both_correct,dev,D,D,D,True,True,logical_constraints,False,False,False
logicqa_fb4f55410871,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_fc6c705cc32b,astar_only,dev,A,C,A,False,True,logical_constraints,False,False,False
logicqa_feaa10e120d3,both_correct,train,B,B,B,True,True,inference_selection,False,True,False
