example_id,bucket,split,gold,cot_pred,astar_pred,cot_correct,astar_correct,failure_category,selected_rescue,selected_preserve,selected_answer_only
logicqa_1d55d2f4bf71,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_1e27176c30cc,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_1e60365ec2dc,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_1fff9d0df41c,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_2206dfb98b2f,both_wrong,dev,B,A,A,False,False,logical_constraints,False,False,False
logicqa_2342c97a446a,both_wrong,train,C,B,A,False,False,logical_constraints,False,False,False
logicqa_238795da1279,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_24986823ecfa,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_24aa50bc4790,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_24ca955df8d1,both_wrong,train,D,C,A,False,False,inference_selection,False,False,False
logicqa_25d5a467ade9,astar_only,train,A,B,A,False,True,logical_constraints,True,False,False
logicqa_2635f0dd5f8c,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_26b576af5a2e,both_wrong,train,B,D,A,False,False,inference_selection,False,False,False
logicqa_275b574eacbb,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_276527db7f6b,cot_only,train,C,C,A,True,False,logical_constraints,False,False,False
logicqa_278cfebccbed,both_wrong,train,B,A,A,False,False,inference_selection,False,False,False
logicqa_294fe3fad55a,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_2a0156d1c9bd,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_2a178a817daa,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_2a7a3e1a4a31,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_2afc38aae50f,cot_only,train,A,A,B,True,False,logical_constraints,False,True,False
logicqa_2b2f1ff9fae3,astar_only,train,C,A,C,False,True,logical_constraints,True,False,False
logicqa_2b352eba7500,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_2b51a80a9c39,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_2c7ae8b83fc0,astar_only,dev,A,D,A,False,True,logical_constraints,False,False,False
logicqa_2ce55d0d3014,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_2ce77ec7bc49,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_2d31dad79d28,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_2daa1a13a931,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_2db28e5ee248,both_wrong,dev,C,A,A,False,False,logical_constraints,False,False,False
logicqa_2e4b0ef4fdb6,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_2f3c67af7351,both_wrong,train,D,A,C,False,False,logical_constraints,False,False,False
logicqa_3137ae24a1db,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_318b01b48cb4,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_31eea389ac2a,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_33795834fb88,both_wrong,train,C,A,B,False,False,logical_constraints,False,False,False
logicqa_33a93760752e,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_33cc92c7d5ae,both_wrong,train,B,A,D,False,False,logical_constraints,False,False,False
logicqa_34278f9207ca,astar_only,train,D,A,D,False,True,logical_constraints,True,False,False
logicqa_3499e427aec9,both_wrong,train,D,C,B,False,False,other,False,False,False
logicqa_34f49dd2da25,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_351118ddb791,both_wrong,train,B,A,D,False,False,inference_selection,False,False,False
logicqa_353f91ca200d,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_3561ff93c8a6,both_wrong,train,B,A,C,False,False,logical_constraints,False,False,False
logicqa_3572ada7a331,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_35b68d45ce59,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_35f17f6bdcb6,both_wrong,dev,D,A,A,False,False,inference_selection,False,False,False
logicqa_36da5750ae16,both_wrong,train,D,B,A,False,False,logical_constraints,False,False,False
logicqa_379d3ffaf4ef,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_38130a6366b0,both_wrong,train,D,C,A,False,False,logical_constraints,False,False,False
logicqa_387c0ed81b9c,both_wrong,dev,B,C,A,False,False,logical_constraints,False,False,False
logicqa_3925c34c70f0,both_wrong,dev,C,A,A,False,False,inference_selection,False,False,False
logicqa_39e13a139e25,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_3b11b9adc2ef,both_wrong,dev,C,A,B,False,False,logical_constraints,False,False,False
logicqa_3b7024a277df,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_3b9906cc5f4d,both_wrong,train,A,D,D,False,False,logical_constraints,False,False,False
logicqa_3bed2fb162b0,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_3db4fe7303b4,both_wrong,dev,C,A,A,False,False,inference_selection,False,False,False
logicqa_3dc2e50c659a,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_3df6f4c46249,both_wrong,train,B,A,A,False,False,inference_selection,False,False,False
logicqa_3df8bb19401f,both_wrong,train,C,B,D,False,False,inference_selection,False,False,False
logicqa_3ef9590a69ce,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_3f17f499a175,both_wrong,train,D,A,A,False,False,other,False,False,False
logicqa_3fb1433eb77c,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_3fd1b75a5143,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_3ffcbc1235f4,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_403afde80632,both_wrong,train,B,C,A,False,False,logical_constraints,False,False,False
logicqa_4045747bd58a,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_408be5e88056,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_416f6c0ef8f2,astar_only,train,A,B,A,False,True,logical_constraints,True,False,False
logicqa_4175a7363af8,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_41b76c9e1bac,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_41c74e8b3443,both_correct,dev,A,A,A,True,True,inference_selection,False,False,False
logicqa_41f69a0f46ad,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_41f80ec3aebf,astar_only,dev,D,A,D,False,True,logical_constraints,False,False,False
logicqa_4263123e303e,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_4307e11a9a18,cot_only,dev,C,C,A,True,False,logical_constraints,False,False,False
logicqa_44457a372525,both_wrong,train,C,A,D,False,False,logical_constraints,False,False,False
logicqa_4567616ed1ff,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_46fb9bd54ae0,both_wrong,train,D,B,A,False,False,logical_constraints,False,False,False
logicqa_4917dfacbf37,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_4b8dbe4ca7c8,both_wrong,dev,C,B,A,False,False,inference_selection,False,False,False
logicqa_4ce56218b1e2,both_wrong,train,C,A,D,False,False,inference_selection,False,False,False
logicqa_4d1baa5681b4,cot_only,dev,A,A,B,True,False,logical_constraints,False,False,False
logicqa_4d6fe292026f,astar_only,train,D,A,D,False,True,inference_selection,True,False,False
logicqa_4d8359c69c91,cot_only,train,B,B,A,True,False,logical_constraints,False,False,False
logicqa_4db241d8818f,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_4df125de991a,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_4e1880528a2f,cot_only,train,D,D,A,True,False,logical_constraints,False,True,True
logicqa_4e9b9cc01cc3,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_4f721d580ca5,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_4fa4a2f27d44,both_wrong,dev,D,B,A,False,False,inference_selection,False,False,False
logicqa_5024c627cd9c,both_correct,train,A,A,A,True,True,inference_selection,False,True,True
logicqa_50a89bbc3911,both_correct,train,A,A,A,True,True,inference_selection,False,True,False
logicqa_50d0e4aff73d,both_wrong,train,D,C,A,False,False,logical_constraints,False,False,False
logicqa_5127f6a68181,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_515d5cb9a4bd,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_51724df2defc,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_5199c5872313,both_wrong,dev,D,C,A,False,False,logical_constraints,False,False,False
logicqa_520413869e57,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_520abc238255,cot_only,dev,C,C,A,True,False,logical_constraints,False,False,False
logicqa_52e783ab466f,astar_only,train,A,C,A,False,True,inference_selection,True,False,False
logicqa_5442de5f0723,astar_only,train,A,D,A,False,True,logical_constraints,True,False,False
logicqa_54c83fcce371,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_54e9ed2bc388,both_correct,train,A,A,A,True,True,logical_constraints,False,False,False
logicqa_554cd6eb2e23,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_55f08f8d85e4,both_correct,train,A,A,A,True,True,logical_constraints,False,False,False
logicqa_5838cca0003a,astar_only,train,A,D,A,False,True,logical_constraints,True,False,False
logicqa_590a62b1991b,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_5a3a551f55f4,astar_only,dev,C,A,C,False,True,logical_constraints,False,False,False
logicqa_5b3b0eabefc5,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_5b8db5423bff,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_5c3d146553d5,both_wrong,dev,B,,A,False,False,other,False,False,False
logicqa_5c9164a8a45e,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_5cdad85fe4fb,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_5d45d6b95890,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_5d6841f8eb8b,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_5ed2ffe1e922,both_wrong,train,B,A,A,False,False,inference_selection,False,False,False
logicqa_5f12d28226e9,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_5f1c58beac6b,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_604b3362d942,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_60fafdda009e,astar_only,train,C,A,C,False,True,logical_constraints,True,False,False
logicqa_63c631c1de2c,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_648e2061468c,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_64d0e5bb6fea,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_64ffac846f6d,both_wrong,dev,D,B,C,False,False,logical_constraints,False,False,False
logicqa_658f1a386f11,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_65cb6080d8d9,astar_only,train,A,C,A,False,True,logical_constraints,True,False,False
logicqa_661613d16cb9,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_662ac896c8ae,both_wrong,train,C,B,A,False,False,logical_constraints,False,False,False
logicqa_66a27957445c,cot_only,train,A,A,C,True,False,logical_constraints,False,True,False
logicqa_66e950cfa1ce,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_67755b26c77e,both_wrong,dev,B,C,A,False,False,logical_constraints,False,False,False
logicqa_68a6c133c894,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_68a78aee19dd,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_6981171b29e0,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_6a069719cbbd,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_6b42d49e6339,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_6b7b86e075cd,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_6cc99f43f67b,both_wrong,dev,B,A,A,False,False,logical_constraints,False,False,False
logicqa_6cf3b53568db,astar_only,train,D,A,D,False,True,logical_constraints,True,False,False
logicqa_6d540f4e15dc,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_6db6d2f7edbf,both_wrong,train,B,A,D,False,False,logical_constraints,False,False,False
logicqa_6e83d898a3c8,cot_only,dev,D,D,A,True,False,inference_selection,False,False,False
logicqa_6fac040a9292,both_wrong,train,C,D,A,False,False,inference_selection,False,False,False
logicqa_6ff2b83ccd3d,both_wrong,train,B,A,A,False,False,inference_selection,False,False,False
logicqa_705dc2388365,cot_only,train,D,D,A,True,False,inference_selection,False,True,False
logicqa_70aced06f096,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_70b9d0903451,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_713f53c59b49,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_715f24b2e61d,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_728d46e11079,astar_only,train,D,A,D,False,True,logical_constraints,True,False,False
logicqa_72b6c5009623,astar_only,train,A,D,A,False,True,other,True,False,False
logicqa_7341df0786c8,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_74725cf6caac,both_wrong,train,C,D,A,False,False,logical_constraints,False,False,False
logicqa_74b1072ff432,cot_only,dev,C,C,D,True,False,logical_constraints,False,False,False
logicqa_7500c7ed80fd,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_75bfd194cf3d,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_76e89c1c2682,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_78ac8cc40416,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_78c31ec20189,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_7a4d30f142d0,both_wrong,train,D,B,A,False,False,logical_constraints,False,False,False
logicqa_7be0d58a39ac,both_wrong,dev,C,A,A,False,False,logical_constraints,False,False,False
logicqa_7d1bca244fa2,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_7d32efa72705,both_wrong,dev,C,A,A,False,False,logical_constraints,False,False,False
logicqa_7e546f653401,astar_only,dev,A,B,A,False,True,logical_constraints,False,False,False
logicqa_7ea4d53f9f2b,both_wrong,train,C,A,A,False,False,inference_selection,False,False,False
logicqa_7ec4f9166f49,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_7ee1c5dc1f25,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_8031f6366d1e,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_8206ed072248,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_82131f210ffa,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_824c090bf6f4,both_wrong,dev,C,A,B,False,False,logical_constraints,False,False,False
logicqa_82d7add8f458,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_833838f98a71,cot_only,dev,B,B,A,True,False,logical_constraints,False,False,False
logicqa_8344f6bf9441,both_correct,train,A,A,A,True,True,inference_selection,False,True,False
logicqa_84d4209dc60d,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_84ef488ed2a8,both_wrong,dev,A,C,D,False,False,inference_selection,False,False,False
logicqa_855fd92ce052,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_866632609bd3,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_868b7bbc0031,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_8745864f7f84,astar_only,train,A,D,A,False,True,logical_constraints,True,False,False
logicqa_87b6768efcf7,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_881c3ee47ad2,cot_only,train,C,C,A,True,False,logical_constraints,False,True,True
logicqa_88e81150db86,cot_only,train,D,D,A,True,False,inference_selection,False,True,False
logicqa_88f0795c582f,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_892c9108caa6,both_wrong,train,B,D,A,False,False,inference_selection,False,False,False
logicqa_8a07ace05c9c,both_correct,train,A,A,A,True,True,logical_constraints,False,True,True
logicqa_8a1f25f2a35f,both_wrong,dev,C,D,A,False,False,logical_constraints,False,False,False
logicqa_8a39135e5457,both_wrong,train,C,A,D,False,False,logical_constraints,False,False,False
logicqa_8b131a690137,both_wrong,dev,D,B,A,False,False,logical_constraints,False,False,False
logicqa_8b35a9c3a2f8,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_8bbaf8dee0ee,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_8cbfdce1f0c9,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_8daf55c6c93d,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_8dbbb5e707a9,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_8e50a53df332,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_8eb91d1c342f,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_8fe7570998e1,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_9036d3429acc,cot_only,train,C,C,A,True,False,inference_selection,False,True,False
logicqa_9068a3f035c7,both_wrong,dev,C,A,A,False,False,logical_constraints,False,False,False
logicqa_9085ec314d41,both_wrong,train,B,D,A,False,False,logical_constraints,False,False,False
logicqa_9093bd5190b1,both_wrong,train,D,A,B,False,False,inference_selection,False,False,False
logicqa_91411da05208,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_91cbb2337e79,astar_only,train,B,C,B,False,True,logical_constraints,True,False,False
logicqa_921e8adc875c,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_926239cdd1e8,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_92967d20c56a,astar_only,train,A,C,A,False,True,inference_selection,True,False,False
logicqa_92cb4f59aa98,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_93871921aaee,both_wrong,train,C,A,D,False,False,logical_constraints,False,False,False
logicqa_93c068ea3a59,astar_only,dev,A,C,A,False,True,logical_constraints,False,False,False
logicqa_943236053467,cot_only,train,A,A,B,True,False,logical_constraints,False,True,False
logicqa_94e9599e6929,both_wrong,train,C,B,A,False,False,logical_constraints,False,False,False
logicqa_9553f9e102e6,astar_only,dev,A,C,A,False,True,logical_constraints,False,False,False
logicqa_96b622c0eb14,astar_only,train,C,A,C,False,True,other,True,False,False
logicqa_96f8bd0b695c,both_wrong,dev,B,A,A,False,False,logical_constraints,False,False,False
logicqa_97694d0aa306,both_wrong,train,B,A,D,False,False,logical_constraints,False,False,False
logicqa_97740cce71a7,cot_only,train,C,C,A,True,False,logical_constraints,False,True,False
logicqa_9783189151be,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_98087a8e74b1,both_wrong,train,D,C,C,False,False,logical_constraints,False,False,False
logicqa_9836d4932a76,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_990f027223c0,both_wrong,train,D,B,A,False,False,logical_constraints,False,False,False
logicqa_995e108ffa2e,both_wrong,dev,D,A,A,False,False,logical_constraints,False,False,False
logicqa_99d0c467b5aa,both_correct,dev,A,A,A,True,True,logical_constraints,False,False,False
logicqa_9a6dee7a5e81,both_wrong,train,D,A,A,False,False,inference_selection,False,False,False
logicqa_9ad664296ea4,cot_only,train,B,B,A,True,False,logical_constraints,False,True,False
logicqa_9b7acc314a1c,both_wrong,train,B,A,A,False,False,inference_selection,False,False,False
logicqa_9c5504f791ad,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_9d3fbd9c201b,both_wrong,train,D,A,C,False,False,logical_constraints,False,False,False
logicqa_9e64b11c92d1,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_9ef2a720d38a,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_9f29543bfddc,both_correct,dev,A,A,A,True,True,inference_selection,False,False,False
logicqa_9f95452411ea,both_correct,train,A,A,A,True,True,logical_constraints,False,True,True
logicqa_a0171797864e,both_wrong,train,B,A,A,False,False,logical_constraints,False,False,False
logicqa_a019d696787c,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_a01a1989109f,both_correct,train,A,A,A,True,True,logical_constraints,False,True,False
logicqa_a07bc4c69079,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_a150ab51e140,both_wrong,dev,B,A,D,False,False,inference_selection,False,False,False
logicqa_a15aa3a62c07,cot_only,train,D,D,A,True,False,logical_constraints,False,True,False
logicqa_a1cdcf1d4a5a,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_a1d846805d45,cot_only,train,D,D,A,True,False,logical_constraints,False,False,False
logicqa_a1f7f5aa243b,both_wrong,dev,C,B,A,False,False,logical_constraints,False,False,False
logicqa_a25721e7302b,both_wrong,train,C,B,A,False,False,logical_constraints,False,False,False
logicqa_a2ede8add2f5,both_wrong,train,C,B,A,False,False,logical_constraints,False,False,False
logicqa_a3a4925c1494,both_wrong,dev,C,D,A,False,False,logical_constraints,False,False,False
logicqa_a3d8a6a2da32,both_wrong,dev,D,A,B,False,False,logical_constraints,False,False,False
logicqa_a4520d4e2bee,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_a528e8afb105,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_a577ed329430,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_a5dab17362cb,both_wrong,train,D,A,A,False,False,logical_constraints,False,False,False
logicqa_a5e2d0e0a5d3,both_wrong,train,C,A,B,False,False,logical_constraints,False,False,False
logicqa_a6fa05c0367b,cot_only,dev,C,C,A,True,False,logical_constraints,False,False,False
logicqa_a71b5145523a,both_wrong,train,C,A,A,False,False,logical_constraints,False,False,False
logicqa_a72bde000317,both_wrong,train,A,B,D,False,False,logical_constraints,False,False,False
